Date,Open,High,Low,Close,Adj Close,Volume,ChangeStock,wtAVG
2019-05-30,11865.29981,11968.54981,11859.40039,11945.90039,11945.90039,421200,80.60058,0.500369064
2019-05-31,11999.79981,12039.25,11829.4502,11922.79981,11922.79981,438900,-77,0.493545934
2019-06-03,11953.75,12103.04981,11920.09961,12088.54981,12088.54981,315300,134.79981,0.492780324
2019-06-04,12052.65039,12095.2002,12005.84961,12021.65039,12021.65039,289200,-31,0.493767387
2019-06-06,12039.79981,12039.79981,11830.25,11843.75,11843.75,415200,-196.04981,0.489532268
2019-06-07,11865.2002,11897.5,11769.5,11870.65039,11870.65039,302500,5.45019,0.499744246
2019-06-10,11934.90039,11975.04981,11871.75,11922.7002,11922.7002,303300,-12.20019,0.497542978
2019-06-11,11959.84961,12000.34961,11904.34961,11965.59961,11965.59961,332200,5.75,0.497039905
2019-06-12,11962.4502,11962.4502,11866.34961,11906.2002,11906.2002,283700,-56.25,0.494210055
2019-06-13,11873.90039,11931.34961,11817.04981,11914.04981,11914.04981,447900,40.14942,0.493272335
2019-06-14,11910.09961,11911.84961,11797.7002,11823.29981,11823.29981,390300,-86.7998,0.503284028
2019-06-17,11844,11844.04981,11657.75,11672.15039,11672.15039,295500,-171.84961,0.49545017
2019-06-18,11677.04981,11727.2002,11641.15039,11691.5,11691.5,365500,14.45019,0.495801439
2019-06-19,11744.4502,11802.5,11625.09961,11691.4502,11691.4502,446900,-53,0.492038702
2019-06-20,11653.65039,11843.5,11635.04981,11831.75,11831.75,442000,178.09961,0.488734203
2019-06-21,11827.59961,11827.9502,11705.09961,11724.09961,11724.09961,468400,-103.5,0.509361649
2019-06-24,11725.79981,11754,11670.2002,11699.65039,11699.65039,277600,-26.14942,0.500534757
2019-06-25,11681,11814.40039,11651,11796.4502,11796.4502,300500,115.4502,0.497832038
2019-06-26,11768.15039,11871.84961,11757.54981,11847.54981,11847.54981,327900,79.39942,0.495428224
2019-06-27,11860.84961,11911.15039,11821.04981,11841.54981,11841.54981,480200,-19.2998,0.492667037
2019-06-28,11861.15039,11871.7002,11775.5,11788.84961,11788.84961,303900,-72.30078,0.489850248
2019-07-01,11839.90039,11884.65039,11830.79981,11865.59961,11865.59961,278400,25.69922,0.490632066
2019-07-02,11890.29981,11917.4502,11814.7002,11910.29981,11910.29981,363200,20,0.492830997
2019-07-03,11932.15039,11945.2002,11887.04981,11916.75,11916.75,340500,-15.40039,0.493602426
2019-07-04,11928.79981,11969.25,11923.65039,11946.75,11946.75,333600,17.95019,0.494167275
2019-07-05,11964.75,11981.75,11797.90039,11811.15039,11811.15039,530700,-153.59961,0.494410564
2019-07-08,11770.40039,11771.90039,11523.29981,11558.59961,11558.59961,464000,-211.80078,0.49792298
2019-07-09,11531.59961,11582.54981,11461,11555.90039,11555.90039,442500,24.30078,0.505326241
2019-07-10,11536.15039,11593.7002,11475.65039,11498.90039,11498.90039,337600,-37.25,0.509160131
2019-07-11,11561.4502,11599,11519.5,11582.90039,11582.90039,317300,21.45019,0.510890548
2019-07-12,11601.15039,11639.54981,11538.59961,11552.5,11552.5,359400,-48.65039,0.51508266
2019-07-15,11614.75,11618.40039,11532.29981,11588.34961,11588.34961,368800,-26.40039,0.520620374
2019-07-16,11596.65039,11670.04981,11573.9502,11662.59961,11662.59961,480200,65.94922,0.520344606
2019-07-17,11670.75,11706.65039,11651.15039,11687.5,11687.5,464800,16.75,0.519126389
2019-07-18,11675.59961,11677.15039,11582.40039,11596.90039,11596.90039,498300,-78.69922,0.518314794
2019-07-19,11627.9502,11640.34961,11399.29981,11419.25,11419.25,446000,-208.7002,0.516662452
2019-07-22,11392.84961,11398.15039,11301.25,11346.2002,11346.2002,516000,-46.64941,0.516671971
2019-07-23,11372.25,11398.15039,11302.79981,11331.04981,11331.04981,458900,-41.20019,0.517607118
2019-07-24,11322.4502,11359.75,11229.79981,11271.29981,11271.29981,413200,-51.15039,0.514372018
2019-07-25,11290.40039,11361.40039,11239.34961,11252.15039,11252.15039,553700,-38.25,0.515321166
2019-07-26,11247.4502,11307.59961,11210.04981,11284.29981,11284.29981,522700,36.84961,0.513511845
2019-07-29,11307.5,11310.9502,11152.40039,11189.2002,11189.2002,482900,-118.2998,0.514762911
2019-07-30,11213.7002,11267.4502,11072.65039,11085.40039,11085.40039,479100,-128.29981,0.515067113
2019-07-31,11034.04981,11145.29981,10999.40039,11118,11118,536700,83.95019,0.511543606
2019-08-01,11060.2002,11076.75,10881,10980,10980,499900,-80.2002,0.511894052
2019-08-02,10930.29981,11080.15039,10848.9502,10997.34961,10997.34961,547400,67.0498,0.51648484
2019-08-05,10895.79981,10895.79981,10782.59961,10862.59961,10862.59961,506600,-33.2002,0.520434816
2019-08-06,10815.40039,11018.54981,10813.79981,10948.25,10948.25,517900,132.84961,0.516950017
2019-08-07,10958.09961,10975.65039,10835.90039,10855.5,10855.5,548500,-102.59961,0.516781516
2019-08-08,10899.2002,11058.04981,10842.9502,11032.4502,11032.4502,482500,133.25,0.51683945
2019-08-09,11087.90039,11181.4502,11062.79981,11109.65039,11109.65039,538100,21.75,0.520691146
2019-08-13,11139.40039,11145.90039,10901.59961,10925.84961,10925.84961,624600,-213.55078,0.518566678
2019-08-14,11003.25,11078.15039,10935.59961,11029.40039,11029.40039,511500,26.15039,0.520107279
2019-08-16,11043.65039,11068.65039,10924.29981,11047.79981,11047.79981,470900,4.14942,0.520563543
2019-08-19,11094.79981,11146.90039,11037.84961,11053.90039,11053.90039,369500,-40.89942,0.520994106
2019-08-20,11063.90039,11076.29981,10985.29981,11017,11017,444700,-46.90039,0.521419996
2019-08-21,11018.15039,11034.2002,10906.65039,10918.7002,10918.7002,557900,-99.45019,0.517757908
2019-08-22,10905.29981,10908.25,10718.29981,10741.34961,10741.34961,668200,-163.9502,0.517426769
2019-08-23,10699.59961,10862.54981,10637.15039,10829.34961,10829.34961,667100,129.75,0.523365528
2019-08-26,11000.29981,11070.29981,10756.54981,11057.84961,11057.84961,684100,57.5498,0.517370137
2019-08-27,11106.54981,11141.75,11049.5,11105.34961,11105.34961,685600,-1.2002,0.51611046
2019-08-28,11101.29981,11129.65039,10987.65039,11046.09961,11046.09961,550000,-55.2002,0.516107203
